vector VS array                                 goo.gl/oodG9F 
call back                                       goo.gl/nIiXhI
boost io_service                                goo.gl/Z7ybC8
organizing member var                           goo.gl/mSmvBT
do not use too much new                         goo.gl/4XiVQa
enum size                                       goo.gl/pjegX9
struct vs class                                 goo.gl/FvZLVS
const in template                               goo.gl/EOKD8j
stoi                                            goo.gl/S8bYaY
automake                                        goo.gl/SgmdgV
